Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
5696/036,992 PERALTA AVE,992 PERALTA AVE,94110,"992 PERALTA AVE
San Francisco, CA 94110
(37.737302, -122.409084)",10678,,http://propertymap.sfplanning.org/?&search=5696/036,Exempt,Exempt - Demolition,Exempt,Exempt - Demolition,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Exempt - Demolition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7296/006,Nordstrom,285 WINSTON DR,94132,"285 WINSTON DR
San Francisco, CA 94132
(37.726959, -122.47744)",176000,Retail Store,http://propertymap.sfplanning.org/?&search=7296/006,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,2014-04-01T00:00:00,Did Not Comply,,,82,46.5,130.2,-38.9,-38.9,665.6,3.8,46.5,130.2,75,52.5,148.8,-30.1,-30.1,756.2,4.3,51.9,146.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752/095,880 Harrison,874 HARRISON ST,94107,"874 HARRISON ST
San Francisco, CA 94107
(37.779344, -122.401463)",33691,Office,http://propertymap.sfplanning.org/?&search=3752/095,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,99,22.9,59.2,-68.1,-68.1,60.1,1.8,22.9,59.2,99,22.8,63.3,-66.6,-66.6,58.9,1.7,23.3,63.8,100,15.2,41.4,-77.4,-77.4,38.8,1.2,16.4,42.6,100,18.7,47.3,-75.2,-75.2,46.1,1.4,18.8,47.4,,,,,,,,,,,,,,,,,,
3784/088,121 - San Francisco Store,685 7TH ST,94103,"685 7TH ST
San Francisco, CA 94103
(37.772048, -122.401996)",47000,Retail Store,http://propertymap.sfplanning.org/?&search=3784/088,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,90,26.2,75.6,-51,-51,101.8,2.2,26.2,75.2,88,28,81,-47.4,-47.4,102.8,2.2,27.9,79.8,24,25.4,77.1,38.1,38.1,99.7,2,24.4,74,31,32.1,84.3,26.4,26.2,117,2.4,31.4,83.6,13,41.7,118.7,66.3,,169.1,,40.3,117.3,,,,,,,,,
3736/111,Gordon Development,38 TEHAMA ST,94105,"38 TEHAMA ST
San Francisco, CA 94105
(37.787453, -122.39631)",77000,,http://propertymap.sfplanning.org/?&search=3736/111,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - LEED EBOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,70.8,,-24,,412.71,,70.8,
3724/071,155 5th Street,155 5TH ST,94103,"155 5TH ST
San Francisco, CA 94103
(37.781853, -122.405392)",358400,,http://propertymap.sfplanning.org/?&search=3724/071,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,,Violation - Did Not Report,,Violation - Insufficient Data,,2019-04-01T00:00:00,Upcoming,,,,38.3,83.8,-43.4,-43.4,965.2,2.5,84.4,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3787/031,475 Brannan (excluding Suite 120 & 130),475 BRANNAN ST,94107,"475 BRANNAN ST
San Francisco, CA 94107
(37.778746, -122.396002)",292929,Office,http://propertymap.sfplanning.org/?&search=3787/031,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Exempt - LEED EBOM,2018-04-01T00:00:00,Exempt - ENERGY STAR,84,83.4,192.5,-35.2,-35.2,1388.6,6.1,84.6,192,86,75.2,179.7,-38.2,-38.2,1217.2,5.4,75.3,178.7,87,75.2,180.1,-39.1,-39.1,1217.7,5.4,77.2,182.3,85,83.9,191.8,-36.6,-36.6,1381.7,6.2,84,192,88,80.4,198.1,-40.1,,1395.01,,79.9,197.5,82,89.3,,-33.5,,1536.6,,89.3,
3820/004,1111 8th St,1111 8th St,94107,"1111 8th St
San Francisco, CA 94107
(37.767169, -122.400266)",,,http://propertymap.sfplanning.org/?&search=3820/004,,,,,Exempt,,Exempt,,Exempt,,Exempt,,Exempt,,2017-04-01T00:00:00,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736/098,589 HOWARD ST,589 HOWARD ST,94105,"589 HOWARD ST
San Francisco, CA 94105
(37.7871, -122.397826)",15600,Office,http://propertymap.sfplanning.org/?&search=3736/098,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,100,3.4,4.2,-97.3,-97.3,3,0.2,4.9,5.8,100,1.9,2.6,-98.4,-98.4,1.7,0.1,2.2,2.9,100,1.9,3.9,-97.5,-97.5,2,0.1,1.9,3.9,100,5,12.8,-92.1,-92.1,6.1,0.4,5,12.8,,,,,,,,,,,,,,,,,,
4287/004,1850 CESAR CHAVEZ ST,1850 CESAR CHAVEZ ST,94107,"1850 CESAR CHAVEZ ST
San Francisco, CA 94107
(37.749785, -122.395949)",10640,,http://propertymap.sfplanning.org/?&search=4287/004,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736/025,JAM Properties,572 FOLSOM ST,94105,"572 FOLSOM ST
San Francisco, CA 94105
(37.785972, -122.396162)",15460,Office,http://propertymap.sfplanning.org/?&search=3736/025,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,98,19,58.3,-64.8,-64.8,22,1.4,19,58.3,98,20.3,61.6,-63.4,-63.4,27.7,1.7,20.2,61,96,21.7,65.5,-56.3,-56.3,26.8,1.7,21.7,65.5,98,19.1,57.9,-62.5,-62.5,23.7,1.5,19.1,57.9,,,,,,,,,,,,,,,,,,
3807/001,900 7TH ST,960 7TH ST,94107,"960 7TH ST
San Francisco, CA 94107
(37.770265, -122.39975)",16771,Office,http://propertymap.sfplanning.org/?&search=3807/001,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,1,248.7,478.5,214.6,214.6,280.2,16.7,246.9,473,1,213.7,437.8,181.3,181.3,239,14.3,212.3,433.4,1,189,396,159.1,159.1,213.4,12.7,193.7,400.8,1,199.3,402.9,156.3,156.3,221.7,13.2,199.7,403.4,,,,,,,,,,,,,,,,,,
5273/014,St. John Missionary Baptist Church,825 Newhall St,94124,"825 Newhall St
San Francisco, CA 94124
(37.739193, -122.389021)",19819,Worship Facility,http://propertymap.sfplanning.org/?&search=5273/014,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,95,22.7,34,-56,-56,22,1.1,24.1,35.5,93,25.1,36.8,-52.4,-52.4,23.9,1.2,26.3,38.1,95,22.3,33.4,-55.6,-55.6,20.7,1,25.4,36.7,96,23.7,34,-58.6,-58.6,23.7,1.2,22.3,32.5,,,,,,,,,,,,,,,,,,
3774/073,274 Brannan JV LLC,274 BRANNAN ST,94107,"274 BRANNAN ST
San Francisco, CA 94107
(37.782345, -122.39147)",140000,Office,http://propertymap.sfplanning.org/?&search=3774/073,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,,,,,,,,,,49,69.6,204.7,1,1,768.4,5.5,69.6,204.7,24,87.9,265.8,32.5,32.5,984.1,7,87.9,265.8,23,94.5,275,35,35.1,1112.5,7.9,94.5,275,1,1018.5,3398,2187.2,,1956.27,,1018.5,3398,6,128.1,377.9,83.5,83.5,1415.9,10.1,128.1,377.9
3787/008,660 Third,660 3RD ST,94107,"660 3RD ST
San Francisco, CA 94107
(37.779376, -122.39343)",108000,Office,http://propertymap.sfplanning.org/?&search=3787/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,97,27.9,85.5,-61,-61,257.9,2.4,28.4,86,96,32,97.3,-56.2,-56.2,277,2.6,31.7,96.1,95,32,98.7,-55.1,-55.1,279.2,2.6,31.6,96.9,95,32.3,98.1,-54.9,-54.9,300.6,2.8,32.3,98,96,32.6,104.4,-57.1,,311.78,,32.4,104.2,98,33.7,,-61.7,,321.07,,33.7,
3733/008,250 4TH ST,250 4TH ST,94103,"250 4TH ST
San Francisco, CA 94103
(37.782619, -122.401891)",29590,,http://propertymap.sfplanning.org/?&search=3733/008,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - Demolished,Exempt,Exempt - Demolished,Exempt,Exempt - Demolished,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750/008,PMI - 642 Harrison Street,642 HARRISON ST,94107,"642 HARRISON ST
San Francisco, CA 94107
(37.783522, -122.396184)",50393,Office,http://propertymap.sfplanning.org/?&search=3750/008,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,59,53.6,168.4,-10.4,-10.4,234.5,4.7,53.6,168.4,59,54.6,171.4,-10.5,-10.5,224.3,4.5,54.1,169.9,65,50.3,157.9,-16.3,-16.3,206.6,4.1,48.3,151.5,65,70.5,162.2,-16,-16,262.6,5.2,70.6,162,69,68.5,154.8,-20.5,,252.7,,76.1,164.2,,0,,,,,,0,
3755/136,"Mr. S Leather Co., Inc.",385 8TH ST,94103,"385 8TH ST
San Francisco, CA 94103
(37.773994, -122.408825)",25433,Manufacturing/Industrial Plant,http://propertymap.sfplanning.org/?&search=3755/136,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,39.7,85.9,,,71.7,2.8,45.7,94.1,,40.7,85.1,,,69.7,2.7,42.9,87.4,,36.1,75.1,,,61.6,2.4,41.3,80.6,,46.8,94.8,,,82.5,3.2,44.8,92.7,96,36.7,85,-62.4,,69.13,,35.9,84.1,,,,,,,,,
3708/056,525 Market Street,525 MARKET ST,94105,"525 MARKET ST
San Francisco, CA 94105
(37.790742, -122.399546)",1205847,Office,http://propertymap.sfplanning.org/?&search=3708/056,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Exempt - LEED EBOM,2018-04-01T00:00:00,Exempt - ENERGY STAR,,42,111.9,-24.4,-24.4,3935.6,3.3,43.2,113.2,,46.5,129.7,-12.4,-12.4,4225.5,3.6,47.1,130.4,91,49.8,139.8,-45.6,-45.6,4542.9,3.8,51.3,141.3,91,52.2,143.1,-45.4,-45.4,4700.8,4,52.3,143.1,93,51.8,146.2,-48.6,,5046.93,,51.8,148.5,100,52,,-59.5,,5034.62,,51,
3786/020,17 BLUXOME ST,17 BLUXOME ST,94107,"17 BLUXOME ST
San Francisco, CA 94107
(37.777361, -122.396184)",10800,Office,http://propertymap.sfplanning.org/?&search=3786/020,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,92,30.6,78.2,-49.1,-49.1,25.6,2.4,30.6,78.2,45,58,164.8,4.9,4.9,48.5,4.5,59.1,166,26,66.3,200.7,30.1,30.1,57.3,5.3,71.3,213.1,32,64.1,192.2,21.1,21.1,55.1,5.1,64.5,193.2,,,,,,,,,,,,,,,,,,
3722/067,Coast Counties - 667 Mission,667 MISSION ST,94105,"667 MISSION ST
San Francisco, CA 94105
(37.786733, -122.401426)",43802,Office,http://propertymap.sfplanning.org/?&search=3722/067,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,,,,,,,,,,94,38.2,117.8,-52,-52,135.1,3.1,38.3,118,88,36.7,114.1,-42.8,-42.8,130.4,3,36.1,112.1,91,37.9,116.9,-47.1,-47.1,144.3,3.3,37.9,116.9,87,42.2,130.5,-41.1,-41.2,161,3.7,42.1,130.5,,,,,,,,,
3763/015A,460 BRYANT ST,460 BRYANT ST,94107,"460 BRYANT ST
San Francisco, CA 94107
(37.781996, -122.394974)",36075,,http://propertymap.sfplanning.org/?&search=3763/015A,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Exempt - LEED EBOM,2020-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733/024,868 FOLSOM ST,868 FOLSOM ST,94103,"868 FOLSOM ST
San Francisco, CA 94103
(37.780801, -122.402728)",18500,Office,http://propertymap.sfplanning.org/?&search=3733/024,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,97,28,87.9,-60.4,-60.4,43.7,2.4,28,87.9,97,27.3,85.8,-60.4,-60.4,40.1,2.2,26.6,83.6,98,25.2,79,-63.1,-63.1,36.9,2.1,25.8,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
6474/034,765 MORSE ST,5655 Mission St,94112,"5655 Mission St
San Francisco, CA 94112
(37.710535, -122.448085)",15444,Worship Facility,http://propertymap.sfplanning.org/?&search=6474/034,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,80,38.2,83.3,-33.9,-33.9,42.1,2.7,41.3,86.5,89,37,80.2,-46.1,-46.1,39,2.5,39.1,82.5,80,34.6,76.2,-33.5,-33.5,36.7,2.4,39,80.8,83,39.2,76,-37.4,-37.4,39.5,2.6,37.1,73.9,,,,,,,,,,,,,,,,,,
4353/009,1370-1380 Marin St,1320 MARIN ST,94124,"1320 MARIN ST
San Francisco, CA 94124
(37.748862, -122.389348)",30000,,http://propertymap.sfplanning.org/?&search=4353/009,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,2012-11-15T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3735/008,282 2nd Street,606 FOLSOM ST,94105,"606 FOLSOM ST
San Francisco, CA 94105
(37.785344, -122.396972)",35415,Office,http://propertymap.sfplanning.org/?&search=3735/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,50,91.7,187.2,-0.2,-0.2,224.3,6.3,90.7,184.1,51,92.4,187.8,-1.4,-1.4,217.5,6.1,91.4,184.8,63,92.1,188.7,-13.8,-13.8,217.5,6.1,91.4,186.8,91,61.9,141.6,-46.4,-46.5,131,4.6,62,141.7,93,59.3,134.1,-49.7,,124.8,,60,136,,,,,,,,,
6574/001B,3140 MISSION ST,3140 MISSION ST,94110,"3140 MISSION ST
San Francisco, CA 94110
(37.747048, -122.418943)",10000,Bar/Nightclub,http://propertymap.sfplanning.org/?&search=6574/001B,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,31.6,84.8,-0.3,-0.3,25.1,2.5,31.3,84,,29.5,79.8,-6.2,-6.2,22.3,2.2,29,78.2,,32.7,81.2,,,23.8,2.4,32.7,81.2,,22.1,69.3,-18.6,-18.6,18,1.8,,,,,,,,,,,,,,,,,,,,
3717/005,None,160 SPEAR ST,94105,"160 SPEAR ST
San Francisco, CA 94105
(37.791839, -122.393182)",327412,Office,http://propertymap.sfplanning.org/?&search=3717/005,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Exempt - ENERGY STAR,2018-04-01T00:00:00,Exempt - ENERGY STAR,93,50.4,128.6,-50.3,-50.3,1201.8,3.9,49.7,126.4,91,56.7,137.2,-46.6,-46.6,1254.7,4.1,56.7,137.2,93,54.9,128.7,-49.3,-49.3,1199.1,3.9,55.7,129.6,91,59.5,139.1,-46.1,-46,1368.3,4.4,59.5,139.1,89,65.1,160,-43.6,,1533.89,,65.6,161.9,86,71.1,,-39.1,,1623.23,,68.4,
3778/018,525 6TH ST,525 6TH ST,94107,"525 6TH ST
San Francisco, CA 94107
(37.775505, -122.401863)",11450,,http://propertymap.sfplanning.org/?&search=3778/018,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288/006,Potrero Business Center,1760 CESAR CHAVEZ ST,94107,"1760 CESAR CHAVEZ ST
San Francisco, CA 94107
(37.749849, -122.394912)",42997,Office,http://propertymap.sfplanning.org/?&search=4288/006,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,,22.7,71.2,-51.9,-51.9,84.6,2,22.7,71.2,,76.9,126.4,-14.6,-14.6,202.3,4.7,79,128.6,,76.5,124.1,-16.2,-16.2,200.2,4.7,84.5,132.6,,63.7,106.1,-28.3,-28.3,168.4,3.9,59.2,101.5,,,,,,,,,,,,,,,,,,
5981/011,NEMS - San Bruno,2574 SAN BRUNO AVE,94134,"2574 SAN BRUNO AVE
San Francisco, CA 94134
(37.729138, -122.404234)",13750,Urgent Care/Clinic/Other Outpatient,http://propertymap.sfplanning.org/?&search=5981/011,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,96.9,202.1,10.6,10.6,93,6.8,98.3,203.6,,80.9,178.7,-2.2,-2.2,76.6,5.6,82.1,179.1,,89.8,191.5,4.8,4.8,83.8,6.1,93.7,195.7,,93.6,197.3,8,8,86.9,6.3,91.6,195.1,,,,,,,,,,,,,,,,,,
5203/061,375 NEWHALL ST,375 NEWHALL ST,94124,"375 NEWHALL ST
San Francisco, CA 94124
(37.742567, -122.385897)",42200,Data Center,http://propertymap.sfplanning.org/?&search=5203/061,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Pending,,,1,754.9,1021.3,823.6,823.6,1847.4,43.8,754.9,1021.3,1,702.5,958.2,765.6,765.6,1701.2,40.3,702.5,958.2,1,707.7,880.1,477.6,477.6,1664.9,39.5,707.7,880.1,1,339.4,1065.7,569.4,569.4,1258.9,29.8,339.4,1065.7,1,611,2022.2,1096.4,,2334.71,,610.8,2021.9,,,,,,,,,
3952/001B,75 ARKANSAS ST,75 ARKANSAS ST,94107,"75 ARKANSAS ST
San Francisco, CA 94107
(37.765365, -122.398711)",19250,,http://propertymap.sfplanning.org/?&search=3952/001B,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060/001,890 TENNESSEE ST,888 TENNESSEE ST,94107,"888 TENNESSEE ST
San Francisco, CA 94107
(37.760791, -122.389513)",38520,,http://propertymap.sfplanning.org/?&search=4060/001,Violation - Did Not Report,,Exempt,Exempt - Tenant Turnover,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4018/005,501 ALABAMA ST,501 ALABAMA ST,94110,"501 ALABAMA ST
San Francisco, CA 94110
(37.762455, -122.412113)",15050,,http://propertymap.sfplanning.org/?&search=4018/005,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3937/001,1500 16th Street/250 DeHaro St,1500 16TH ST,94103,"1500 16TH ST
San Francisco, CA 94103
(37.766104, -122.402034)",47500,Fitness Center/Health Club/Gym,http://propertymap.sfplanning.org/?&search=3937/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,30.8,96.6,-0.2,-0.2,126.8,2.7,30.5,95.9,,33.4,104.9,8.4,8.4,129.4,2.7,33.4,104.9,,32,100.5,3.8,3.8,124,2.6,32,100.5,,31.1,97.6,0.9,0.9,120.4,2.5,31.5,98.8,,42.9,143.4,10.1,,111.92,,40.5,135.1,,,,,,,,,
3783/008,600 Townsend,600 TOWNSEND ST,94103,"600 TOWNSEND ST
San Francisco, CA 94103
(37.771272, -122.402341)",248537,Office,http://propertymap.sfplanning.org/?&search=3783/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,100,8,14.1,-93.2,-93.2,57.1,0.2,8.5,14.6,44,73.1,229.7,5.7,5.7,1242.8,6,73.1,229.7,86,91.9,288.6,-29.1,-29.1,1561.9,7.5,91.9,288.6,84,99.5,312.3,-26.8,-26.8,1821.6,8.7,99.5,312.3,88,104.9,350.2,-29.5,,1985.39,,104.9,350.2,48,98,,1.5,,1855.76,,98,
3763/105,645 Harrison Street,645 HARRISON ST,94107,"645 HARRISON ST
San Francisco, CA 94107
(37.783701, -122.395959)",36595,,http://propertymap.sfplanning.org/?&search=3763/105,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,2012-11-15T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,136.7,77.9,,136.06,,40.9,136.7,,,,,,,,,
3986/014,Robert Mizono Studios,150 MISSISSIPPI ST,94107,"150 MISSISSIPPI ST
San Francisco, CA 94107
(37.764437, -122.394757)",12300,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=3986/014,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,42.1,74.8,-49.5,-49.5,31.6,2.6,74.8,4.3,9,72.3,172.6,98.2,98.2,63.4,5.2,76.6,177.1,19,54.3,133.5,60.2,60.2,48.3,3.9,61.1,140.5,20,56,140.7,57.7,58.1,53.3,4.3,56.3,140.8,,,,,,,,,,,,,,,,,,
